sample_id,domain,model,task_id,standard,n_standard,standard_rate,standard_any_success,standard_stable_failure,standard_unstable,standard_stable_success
E18-TAU2-ALLFAIL-001,airline,openai/bytedance/doubao-seed-2-1-pro,0,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-002,airline,openai/bytedance/doubao-seed-2-1-pro,1,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-003,airline,openai/bytedance/doubao-seed-2-1-pro,10,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-004,airline,openai/bytedance/doubao-seed-2-1-pro,11,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-005,airline,openai/bytedance/doubao-seed-2-1-pro,12,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-006,airline,openai/bytedance/doubao-seed-2-1-pro,13,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-007,airline,openai/bytedance/doubao-seed-2-1-pro,14,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-008,airline,openai/bytedance/doubao-seed-2-1-pro,15,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-009,airline,openai/bytedance/doubao-seed-2-1-pro,16,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-010,airline,openai/bytedance/doubao-seed-2-1-pro,17,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-011,airline,openai/bytedance/doubao-seed-2-1-pro,18,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-012,airline,openai/bytedance/doubao-seed-2-1-pro,19,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-013,airline,openai/bytedance/doubao-seed-2-1-pro,2,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-014,airline,openai/bytedance/doubao-seed-2-1-pro,3,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-015,airline,openai/bytedance/doubao-seed-2-1-pro,4,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-016,airline,openai/bytedance/doubao-seed-2-1-pro,5,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-017,airline,openai/bytedance/doubao-seed-2-1-pro,6,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-018,airline,openai/bytedance/doubao-seed-2-1-pro,7,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-019,airline,openai/bytedance/doubao-seed-2-1-pro,8,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-020,airline,openai/bytedance/doubao-seed-2-1-pro,9,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-021,airline,openai/deepseek/deepseek-v4-pro,10,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-022,airline,openai/deepseek/deepseek-v4-pro,11,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-023,airline,openai/deepseek/deepseek-v4-pro,14,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-024,airline,openai/deepseek/deepseek-v4-pro,18,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-025,airline,openai/deepseek/deepseek-v4-pro,4,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-026,airline,openai/deepseek/deepseek-v4-pro,5,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-027,airline,openai/deepseek/deepseek-v4-pro,6,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-028,airline,openai/deepseek/deepseek-v4-pro,7,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-029,airline,openai/qwen/qwen3.7-plus,1,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-030,airline,openai/qwen/qwen3.7-plus,10,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-031,airline,openai/qwen/qwen3.7-plus,11,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-032,airline,openai/qwen/qwen3.7-plus,12,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-033,airline,openai/qwen/qwen3.7-plus,13,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-034,airline,openai/qwen/qwen3.7-plus,14,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-035,airline,openai/qwen/qwen3.7-plus,15,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-036,airline,openai/qwen/qwen3.7-plus,16,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-037,airline,openai/qwen/qwen3.7-plus,17,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-038,airline,openai/qwen/qwen3.7-plus,18,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-039,airline,openai/qwen/qwen3.7-plus,19,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-040,airline,openai/qwen/qwen3.7-plus,2,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-041,airline,openai/qwen/qwen3.7-plus,4,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-042,airline,openai/qwen/qwen3.7-plus,5,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-043,airline,openai/qwen/qwen3.7-plus,6,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-044,airline,openai/qwen/qwen3.7-plus,7,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-045,airline,openai/qwen/qwen3.7-plus,8,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-046,airline,openai/qwen/qwen3.7-plus,9,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-047,retail,openai/bytedance/doubao-seed-2-1-pro,0,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-048,retail,openai/bytedance/doubao-seed-2-1-pro,1,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-049,retail,openai/bytedance/doubao-seed-2-1-pro,10,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-050,retail,openai/bytedance/doubao-seed-2-1-pro,12,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-051,retail,openai/bytedance/doubao-seed-2-1-pro,13,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-052,retail,openai/bytedance/doubao-seed-2-1-pro,16,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-053,retail,openai/bytedance/doubao-seed-2-1-pro,18,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-054,retail,openai/bytedance/doubao-seed-2-1-pro,19,0,3,0.0000,0,0,0,0
E18-TAU2-ALLFAIL-055,retail,openai/bytedance/doubao-seed-2-1-pro,2,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-056,retail,openai/bytedance/doubao-seed-2-1-pro,3,0,4,0.0000,0,0,0,0
E18-TAU2-ALLFAIL-057,retail,openai/bytedance/doubao-seed-2-1-pro,4,0,2,0.0000,0,0,0,0
E18-TAU2-ALLFAIL-058,retail,openai/bytedance/doubao-seed-2-1-pro,5,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-059,retail,openai/bytedance/doubao-seed-2-1-pro,7,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-060,retail,openai/bytedance/doubao-seed-2-1-pro,9,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-061,retail,openai/deepseek/deepseek-v4-pro,16,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-062,retail,openai/deepseek/deepseek-v4-pro,18,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-063,retail,openai/deepseek/deepseek-v4-pro,19,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-064,retail,openai/deepseek/deepseek-v4-pro,2,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-065,retail,openai/deepseek/deepseek-v4-pro,3,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-066,retail,openai/deepseek/deepseek-v4-pro,4,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-067,retail,openai/deepseek/deepseek-v4-pro,7,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-068,retail,openai/deepseek/deepseek-v4-pro,8,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-069,retail,openai/deepseek/deepseek-v4-pro,9,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-070,retail,openai/qwen/qwen3.7-plus,14,4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-071,retail,openai/qwen/qwen3.7-plus,16,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-072,retail,openai/qwen/qwen3.7-plus,18,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-073,retail,openai/qwen/qwen3.7-plus,19,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-074,retail,openai/qwen/qwen3.7-plus,2,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-075,retail,openai/qwen/qwen3.7-plus,3,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-076,retail,openai/qwen/qwen3.7-plus,4,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-077,retail,openai/qwen/qwen3.7-plus,6,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-078,retail,openai/qwen/qwen3.7-plus,7,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-079,retail,openai/qwen/qwen3.7-plus,8,3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-080,retail,openai/qwen/qwen3.7-plus,9,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-081,telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-082,telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-083,telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-084,telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_sms_permission[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-085,telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-086,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]bad_network_preference[PERSONA:Hard],3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-087,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]bad_vpn[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-088,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-089,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-090,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-091,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-092,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-093,telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]break_apn_settings[PERSONA:None],1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-094,telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]contract_end_suspension[PERSONA:Hard],2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-095,telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-096,telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-097,telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-098,telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-099,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]bad_network_preference[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-100,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]bad_vpn[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-101,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-102,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-103,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-104,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-105,telecom,openai/deepseek/deepseek-v4-pro,[service_issue]break_apn_settings[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-106,telecom,openai/deepseek/deepseek-v4-pro,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-107,telecom,openai/qwen/qwen3.7-plus,[mms_issue]bad_network_preference[PERSONA:None],1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-108,telecom,openai/qwen/qwen3.7-plus,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-109,telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-110,telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-111,telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_sms_permission[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-112,telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-113,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]bad_network_preference[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-114,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]bad_vpn[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-115,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-116,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],3,5,0.6000,1,0,1,0
E18-TAU2-ALLFAIL-117,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-118,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-119,telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],4,5,0.8000,1,0,1,0
E18-TAU2-ALLFAIL-120,telecom,openai/qwen/qwen3.7-plus,[service_issue]break_apn_settings[PERSONA:None],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-121,telecom,openai/qwen/qwen3.7-plus,[service_issue]contract_end_suspension[PERSONA:Hard],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-122,telecom,openai/qwen/qwen3.7-plus,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-123,telecom,openai/qwen/qwen3.7-plus,[service_issue]unseat_sim_card[PERSONA:Easy],0,5,0.0000,0,1,0,0
