domain,model,task_id,standard,policy,react,n_standard,n_policy,n_react,react_repairs_standard_failure,policy_repairs_standard_failure,any_scaffold_repairs_standard_failure,react_beats_simpler,policy_beats_standard,simpler_matches_or_beats_react,react_unstable,strict_stable_react_only
airline,openai/bytedance/doubao-seed-2-1-pro,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,19,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,13,1,1,1,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,15,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,16,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,19,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,5,0,1,0,1,1,1,0,1,1,0,1,1,0,0
airline,openai/deepseek/deepseek-v4-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,9,0,1,1,1,1,1,1,1,1,0,1,1,0,0
airline,openai/qwen/qwen3.7-plus,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,13,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,15,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,19,0,1,0,1,1,1,0,1,1,0,1,1,0,0
airline,openai/qwen/qwen3.7-plus,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,12,0,1,0,1,1,1,0,1,1,0,1,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,15,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,17,1,1,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,19,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/bytedance/doubao-seed-2-1-pro,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0
retail,openai/deepseek/deepseek-v4-pro,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,15,0,0,1,1,1,1,1,0,1,1,0,0,0,1
retail,openai/deepseek/deepseek-v4-pro,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,17,1,1,1,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/deepseek/deepseek-v4-pro,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,15,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,17,1,1,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,19,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
retail,openai/qwen/qwen3.7-plus,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]bad_network_preference[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_sms_permission[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]bad_network_preference[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]bad_vpn[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_mode_off[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]airplane_mode_on[PERSONA:None],0,1,0,1,1,1,0,1,1,0,1,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]break_apn_settings[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]contract_end_suspension[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]lock_sim_card_pin[PERSONA:Hard],1,1,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/bytedance/doubao-seed-2-1-pro,[service_issue]unseat_sim_card[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]bad_network_preference[PERSONA:None],1,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_sms_permission[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]bad_network_preference[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]bad_vpn[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_mode_off[PERSONA:None],1,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]airplane_mode_on[PERSONA:None],1,1,1,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]break_apn_settings[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]contract_end_suspension[PERSONA:Hard],1,1,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]lock_sim_card_pin[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/deepseek/deepseek-v4-pro,[service_issue]unseat_sim_card[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]bad_network_preference[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]bad_wifi_calling[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_apn_mms_setting[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_both_permissions[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_sms_permission[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mms_issue]break_app_storage_permission[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]bad_network_preference[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]bad_vpn[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_mode_off[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_saver_mode_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]airplane_mode_on[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]break_apn_settings[PERSONA:None],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]contract_end_suspension[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]lock_sim_card_pin[PERSONA:Hard],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]overdue_bill_suspension[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
telecom,openai/qwen/qwen3.7-plus,[service_issue]unseat_sim_card[PERSONA:Easy],0,0,0,1,1,1,0,0,0,0,0,1,0,0
